"patent"	"inventors_country_frac"	"assignees_country_frac"	"inventors_country_mode"	"assignees_country_mode"	"name"	"date"	"year"	"forward_citations"	"generality_hhi"	"patent_cpcs"	"country"	"VoC"
"4947837"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Sano et al."	"1990-08-01"	"1990"	"11.0"	"0.54"	"A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B"	"JP"	"CME"
"4950283"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Dzubow et al."	"1990-08-01"	"1990"	"62.0"	"0.45"	"A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B|A61B"	"US"	"LME"
"4952325"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Clifford"	"1990-08-01"	"1990"	"6.0"	"0.74"	"B01D|B01D|B01D|B01D|B01D|B01D|B01D|B01D|B01D"	"US"	"LME"
"4956261"	"{'DE': 1.0}"	"{'DE': 1.0}"	"['DE']"	"['DE']"	"Pawlowski et al."	"1990-09-01"	"1990"	"18.0"	"0.68"	"G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F|G03F"	"DE"	"CME"
"4968242"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Andersen"	"1990-11-01"	"1990"	"8.0"	"0.76"	"B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C|B29C"	"US"	"LME"
"4971828"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Abbas et al."	"1990-11-01"	"1990"	"4.0"	"0.9"	"A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B|A23L|C08B"	"US"	"LME"
"4974047"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Niwayama"	"1990-11-01"	"1990"	"1.0"	"0.5"	"H01L|H01L"	"JP"	"CME"
"4974262"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Rosen"	"1990-12-01"	"1990"	"16.0"	"0.84"	"A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K|A47K"	"US"	"LME"
"4977085"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Sprague et al."	"1990-12-01"	"1990"	"7.0"	"0.83"	"C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N|C12N"	"US"	"LME"
"4977827"	"{'US': 1.0}"	"{'US': 1.0}"	"['US']"	"['US']"	"Chandhoke et al."	"1990-12-01"	"1990"	"12.0"	"0.81"	"B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S|B65B|B65H|Y10S"	"US"	"LME"
"4980717"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Kiguchi"	"1990-12-01"	"1990"	"4.0"	"0.72"	"B41J|H04N|B41J|H04N|B41J|H04N|B41J|H04N|B41J|H04N"	"JP"	"CME"
"D306856"	"{'JP': 1.0}"	"{'JP': 1.0}"	"['JP']"	"['JP']"	"Shimose et al."	"1990-03-01"	"1990"	"9.0"	"0.0"	""	"JP"	"CME"
